,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
116,4.3,70.3869,39.5185,12.7489,13.5890593,0,0,0,0,1,0,0,0
117,4.3,81.4481,66.4576,6.66509,13,0,0,0,0,1,0,0,0
118,4.3,16.6284,12.9358,48.83179461,13.5,0,0,0,0,1,0,0,0
119,4.3,75.5541,54.8441,1.86408,14.3,0,0,0,0,1,0,0,0
120,4.3,42.4699,19.4568,8.81191,13.5890593,0,0,0,0,1,0,0,0
121,4.3,22.0735,18.1665,4.07433,13.5890593,0,0,0,0,1,0,0,0
122,4.3,30.6645,31.7599,0.697368,13.5890593,0,0,0,0,1,0,0,0
123,4.3,22.937,18.1589,4.87625,13.5890593,0,0,0,0,1,0,0,0
124,4.3,85,51.2655,7.37909,14.2,0,0,0,0,1,0,0,0
125,4.3,78.3759,52.165,10.5357,14.6,0,0,0,0,1,0,0,0
126,4.2,73.2011,43.6376,14.6929,14,1,1,0,0,1,0,0,0
127,4.2,64.0624,59.3117,9.15037,14,1,1,0,0,1,0,0,0
128,4.2,64.9128,54.3789,10.5808,14.5,0,0,0,0,1,0,0,0
129,4.2,67.108,34.9824,29.5965,14,0,0,0,0,1,0,0,0
130,4.2,71.4144,46.0373,14.7998,13.5890593,0,0,0,0,1,0,0,0
131,4.2,66.7323,62.8084,9.60491,14.5,1,1,0,0,1,0,0,0
132,4.2,64.3576,31.7413,19.0605,14,0,0,0,0,1,0,0,0
133,4.2,65.4293,55.796,14.6714,14.5,0,0,0,0,1,0,0,0
134,4.2,64.2986,59.9462,9.41513,14.5,1,0,0,0,1,0,0,0
135,4.2,70.1938,42.266,18.4378,16.5,0,0,0,0,1,0,0,0
136,4.2,85,46.7082,12.7123,15.2,0,0,0,0,1,0,0,0
137,4.2,85,52.1343,8.61864,14.9,0,0,0,0,1,0,0,0
138,4.2,2.23638,12.0331,8.01981,13.5,0,0,0,0,1,0,0,0
139,4.2,67.9179,61.9328,5.32722,14.5,0,0,0,0,1,0,0,0
140,4.2,73.5874,54.9532,6.97313,14.5,0,0,0,0,1,0,0,0
141,4.2,85,50.434,8.34021,13.5890593,0,0,0,0,1,0,0,0
142,4.2,72.3415,47.7681,20.8847,15.5,0,0,0,0,1,0,0,0
143,4.2,63.2686,62.3454,9.89065,13.6,0,0,0,0,1,0,0,0
